ID,Platform,Title,Publisher,Developer,Year,Region,Edition,Language,Copies,Genres,Description,Metacritic Score,Price Estimate,Cover URL,Source Images,Data Source
n64_donkey_kong_64_01,Nintendo 64,Donkey Kong 64,Nintendo,Rare,1999,,Standard,English,1,"Action, Adventure, Platformer","Donkey Kong 64 is a 1999 adventure platform video game for the Nintendo 64 console, and the first in the Donkey Kong series to feature 3D gameplay. As the gorilla Donkey Kong, the player explores the ...",90,N/A,https://media.rawg.io/media/games/458/4589f9727a1b8bcc0109e5a33a4ea944.jpg,20251009_011655.jpg,RAWG API
n64_fzero_x_01,Nintendo 64,F-ZERO X,Nintendo,Nintendo,1998,NTSC-J,Standard,Japanese,1,Racing,"F-Zero X is a futuristic racing video game for the Nintendo 64 (N64) console. Developed by Nintendo's EAD division, it was released in Japan, North America, and Europe in 1998. In 2000, an expansion p...",85,N/A,https://media.rawg.io/media/games/d0a/d0aedc0ae1d28dd27a484b6c0491d897.jpg,20251009_011854.jpg,RAWG API
gb_f1_race_01,Game Boy,F-1 Race,Nintendo,Nintendo R&D1,1990,NTSC-J,Standard,Japanese,1,"Racing, Simulation, Sports","F-1 Race - Formula One racing game for Game Boy. Simple top-down racing with 8 tracks, weather conditions, and qualifying rounds. Japanese exclusive handheld version.",N/A,$10-20 USD used (Japan),https://upload.wikimedia.org/wikipedia/en/9/95/F-1_Race_Game_Boy_Cover.jpg,"20251009_011924(0).jpg, 20251009_011924.jpg",Web Search
nes_nintendo_world_championships_01,NES,Nintendo World Championships,Nintendo,Nintendo,1990,,Special Edition,English,1,"Competition, Compilation, Action",Nintendo World Championships 1990 - Custom competition cartridge created for the 1990 touring event. One of the rarest NES cartridges with only 90 grey and 26 gold copies known to exist. Valued at six...,N/A,"$10,000-100,000+ USD (extremely rare collectible)",https://upload.wikimedia.org/wikipedia/en/thumb/3/3a/Nintendo_World_Championships_1990_Cartridge.jpg/220px-Nintendo_World_Championships_1990_Cartridge.jpg,20251009_011958.jpg,Web Search
gamecube_captain_toad_box_01,GameCube,Captain Toad: Treasure Tracker,Nintendo,Nintendo EAD Tokyo,2014,,Box/Merchandise,English,1,"Puzzle, Platform, Adventure","Captain Toad: Treasure Tracker - Puzzle-platformer starring Captain Toad. Originally released for Wii U, features isometric puzzle levels where players cannot jump but must navigate 3D environments by...",81,$20-35 USD used,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_1.5/c_scale,w_400/ncom/en_US/games/wiiu/captain-toad-treasure-tracker",20251009_012005.jpg,Web Search
gamecube_mortal_kombat_deadly_alliance_01,GameCube,Mortal Kombat: Deadly Alliance,Midway Games,Midway Games,2002,,Standard,English,1,Fighting,"Mortal Kombat: Deadly Alliance is a fighting video game developed and published by Midway for the Xbox (not compatible with Xbox 360), PlayStation 2, GameCube, and Game Boy Advance. It was the first a...",79,N/A,https://media.rawg.io/media/games/b92/b926ec040317dfc98c4311dbfc155b46.jpg,20251009_012009.jpg,RAWG API
gamecube_spider_man_2_01,GameCube,Spider-Man 2,Activision,Treyarch,2004,,Standard,English,1,"Action, Adventure, Superhero",Spider-Man 2 - Based on the 2004 film. Revolutionary web-swinging mechanics where web must attach to buildings. Praised as one of the best superhero games. Features open-world Manhattan exploration.,83,$15-25 USD used,https://upload.wikimedia.org/wikipedia/en/3/32/Spider-Man_2_%282004_video_game%29_Coverart.png,20251009_012009.jpg,Web Search
gamecube_turok_evolution_01,GameCube,Turok: Evolution,Acclaim Entertainment,Acclaim Studios Austin,2002,,Standard,English,1,"First-Person Shooter, Action, Dinosaurs",Turok: Evolution - Prequel to the Turok series. First-person shooter set in the Lost Lands. Features multiplayer modes and flying levels with pteranodon riding.,59,$10-18 USD used,https://upload.wikimedia.org/wikipedia/en/0/0c/Turok_Evolution_Coverart.png,20251009_012009.jpg,Web Search
gamecube_super_mario_sunshine_01,GameCube,Super Mario Sunshine,Nintendo,Nintendo,2002,,Standard,English,1,"Action, Adventure, Platformer","When Mario, Peach, and an entourage of Peach's loyal Toad friends set out for a tropical vacation on lovely Isle Delfino, they're in store for much more than a relaxing holiday. A mustachioed maniac h...",92,N/A,https://media.rawg.io/media/games/0b7/0b746092287560e4ff5a6ceb5faaed8e.jpg,20251009_012009.jpg,RAWG API
wiiu_zelda_wind_waker_hd_01,Wii U,The Legend of Zelda: The Wind Waker HD,Nintendo,N/A,2013,,Standard,English,1,Adventure,"The Legend of Zelda: The Wind Waker makes its glorious return on the Wii U console with gorgeous HD graphics and enhanced game features. In this timeless classic with a unique and colorful ""toon-shade...",90,N/A,https://media.rawg.io/media/screenshots/c75/c75f83d346ded0cb785e0649e0ac10cd.jpg,"20251009_012012.jpg, 20251009_012017.jpg",RAWG API
wiiu_mario_kart_8_01,Wii U,Mario Kart 8,Nintendo,Nintendo,2014,,Standard,English,1,Racing,"WINNER: Best Sports/Racing Game and Best Family Game --The Game Awards 2014 Expand your game-play options in the Mario Kart™ 8 game with two DLC packs that feature new tracks, new vehicles, and new ch...",88,N/A,https://media.rawg.io/media/games/7df/7dfbdcb58a03fcddc68479454fc1f7de.jpg,"20251009_012012.jpg, 20251009_012017.jpg",RAWG API
wiiu_nintendo_land_01,Wii U,Nintendo Land,Nintendo,Nintendo,2012,,Standard,English,1,Family,Nintendo Land is a fun and lively virtual theme park filled with attractions based on popular Nintendo game worlds. Each attraction features unique and innovative game-play experiences made possible b...,77,N/A,https://media.rawg.io/media/screenshots/61b/61bdb339b511786cf1495fb99da0b10c.jpg,"20251009_012012.jpg, 20251009_012017.jpg",RAWG API
wiiu_hyrule_warriors_01,Wii U,Hyrule Warriors,"Nintendo, Koei Tecmo","Omega Force, Team Ninja",2014,,Standard,English,1,"Hack and Slash, Action, Musou","Hyrule Warriors - Crossover between Legend of Zelda and Dynasty Warriors. Hack-and-slash gameplay with Zelda characters, weapons, and enemies. Over 1 million copies shipped by January 2015.",75,$20-35 USD used,"https://assets.nintendo.com/image/upload/f_auto/q_auto/dpr_1.5/c_scale,w_400/ncom/en_US/games/wiiu/hyrule-warriors",20251009_012012.jpg,Web Search
wiiu_zelda_breath_of_the_wild_01,Wii U,The Legend of Zelda: Breath of the Wild,Nintendo,Nintendo,2017,,Standard,English,1,"Action, Adventure, RPG","The Legend of Zelda: Breath of the Wild is an adventure game developed by Nintendo. It is the nineteenth installment in the series.

After awakening from a hundred year sleep, memoryless Link hears a ...",97,N/A,https://media.rawg.io/media/games/cc1/cc196a5ad763955d6532cdba236f730c.jpg,20251009_012012.jpg,RAWG API
wiiu_donkey_kong_country_tropical_freeze_01,Wii U,Donkey Kong Country: Tropical Freeze,Nintendo,Retro Studios,2014,,Standard,English,1,Platformer,"Traverse islands packed with platforming perfection and nonstop action as the classic Kongs in the original game, or mix things up by playing the story as Funky Kong in new Funky Mode!

Arctic invad...",84,N/A,https://media.rawg.io/media/games/c31/c31655ab2640da333f5ca3f223d33a12.jpg,20251009_012012.jpg,RAWG API
wii_karaoke_revolution_01,Wii,Karaoke Revolution,Konami,Blitz Games,2009,,Standard,English,1,"Music, Rhythm, Karaoke",Karaoke Revolution - Music game with 50-song tracklist. Players sing along to popular songs with scoring based on pitch and timing. Compatible with USB microphones.,N/A,$10-20 USD used,https://upload.wikimedia.org/wikipedia/en/d/d2/Karaoke_Revolution_2009_Coverart.png,20251009_012012.jpg,Web Search
wii_tales_of_symphonia_dawn_of_the_new_world_01,Wii,Tales of Symphonia: Dawn of the New World,Namco Bandai Games,Namco Tales Studio,2008,,Standard,English,1,"RPG, Action RPG, JRPG","Tales of Symphonia: Dawn of the New World - Sequel to Tales of Symphonia. Features monster collecting system, real-time battles, and dual protagonist story set two years after the original.",67,$15-30 USD used,https://upload.wikimedia.org/wikipedia/en/6/6a/Tales_of_Symphonia_Dawn_of_the_New_World_Coverart.png,20251009_012012.jpg,Web Search
gamecube_metal_gear_solid_twin_snakes_01,GameCube,Metal Gear Solid: The Twin Snakes,Konami,"Konami Computer Entertainment Japan, Silicon Knights",2004,,Standard,English,1,"Action, Adventure",Metal Gear Solid: The Twin Snakes is an action-adventure stealth video game co-developed by Silicon Knights and Konami Computer Entertainment Japan for the Nintendo GameCube video game console in Marc...,85,N/A,https://media.rawg.io/media/games/275/2752034244033a258fd5fcdfb8501b72.jpg,20251009_012012.jpg,RAWG API
gamecube_zelda_wind_waker_01,GameCube,The Legend of Zelda: The Wind Waker,Nintendo,Nintendo,2002,,Standard,English,1,Action,"The Legend of Zelda: The Wind Waker is an action-adventure game developed and published by Nintendo for the GameCube home video game console. The tenth installment in The Legend of Zelda series, it wa...",N/A,N/A,https://media.rawg.io/media/games/45f/45f6d31b0fcefe029e33d258a7beb6a2.jpg,20251009_012012.jpg,RAWG API
wii_super_mario_galaxy_2_01,Wii,Super Mario Galaxy 2,Nintendo,Nintendo,2010,,Standard,English,1,Platformer,"Mario is invited to Princess Peach's castle, and on his way notices a
strange light in the grass. As he peers cautiously through the reeds, he
sees a small, lost Luma. With the baby Luma tucked safely...",97,N/A,https://media.rawg.io/media/games/578/578ff52303d0e2563e28a4149f1485c2.jpeg,"20251009_012017.jpg, 20251009_012029.jpg",RAWG API
wii_super_mario_galaxy_01,Wii,Super Mario Galaxy,Nintendo,Nintendo,2007,,Standard,English,1,Platformer,"Become Mario as he traverses gravity-bending galaxies, traveling in and out of gravitational fields by blasting from planet to planet. Control Mario with the Wii Remote™ and Nunchuk™. Power-up to reac...",97,N/A,https://media.rawg.io/media/games/936/936f0ffac0b3c9f5c8d185f610ed2631.jpg,"20251009_012017.jpg, 20251009_012029.jpg",RAWG API
wii_metroid_other_m_01,Wii,Metroid: Other M,Nintendo,"Team Ninja, Nintendo",2010,,Standard,English,1,"Action, Adventure, Third-Person Shooter",Metroid: Other M - Collaboration between Team Ninja and Nintendo. Combines third-person and first-person perspectives. Story-focused entry exploring Samus Aran's past and character development.,79,$15-25 USD used,https://upload.wikimedia.org/wikipedia/en/f/f6/Metroid_Other_M_Coverart.png,"20251009_012017.jpg, 20251009_012029.jpg",Web Search
wii_mortal_kombat_armageddon_01,Wii,Mortal Kombat: Armageddon,Midway Games,"Midway Games, Just Games Interactive",2006,,Standard,English,1,"Arcade, Fighting","For the fi rst time ever on the Wii™, players will be able to experience
the latest chapter in Midway’s award-winning, best selling video game fi
ghting franchise, Mortal Kombat®: Armageddon™. With th...",76,N/A,https://media.rawg.io/media/games/a3c/a3c585489971b680f628ebc28620e6c4.jpg,"20251009_012017.jpg, 20251009_012029.jpg",RAWG API
